case_id,chapter,question,my_claim,evidence_I_cited,pages,VERDICT (agree / disagree / unsure),NOTES (required if you disagree),REVIEWER NAME
unans-001,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",What is the pH of lemon juice?,NOT ANSWERABLE - this chapter cannot answer this question,,,agree,,asha
unans-002,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",How does the human eye focus on distant objects?,NOT ANSWERABLE - this chapter cannot answer this question,,,agree,,asha
unans-003,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",State Ohm's law and give its mathematical form,NOT ANSWERABLE - this chapter cannot answer this question,,,agree,,asha
unans-004,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",What is the function of chlorophyll in photosynthesis?,NOT ANSWERABLE - this chapter cannot answer this question,,,agree,,asha
unans-005,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",Which metals are found at the top of the reactivity series and why?,NOT ANSWERABLE - this chapter cannot answer this question,,,agree,,asha
unans-006,"NCERT Class 10 Mathematics, ch4 Quadratic Equations",How do you solve a cubic equation using Cardano's method?,NOT ANSWERABLE - this chapter cannot answer this question,,,agree,,asha
unans-007,"NCERT Class 10 Mathematics, ch4 Quadratic Equations",What is the sum of the first n terms of an arithmetic progression?,NOT ANSWERABLE - this chapter cannot answer this question,,,agree,,asha
unans-008,"NCERT Class 10 Mathematics, ch4 Quadratic Equations",State the Pythagoras theorem and prove it,NOT ANSWERABLE - this chapter cannot answer this question,,,agree,,asha
unans-009,"NCERT Class 10 Mathematics, ch4 Quadratic Equations",How do you solve a quadratic equation by completing the square?,NOT ANSWERABLE - this chapter cannot answer this question,,,agree,,asha
unans-010,"NCERT Class 10 Mathematics, ch4 Quadratic Equations",What is the distance formula between two points in coordinate geometry?,NOT ANSWERABLE - this chapter cannot answer this question,,,agree,,asha
h-chem-01,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",What is formed when a magnesium ribbon burns in air?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer",You must have observed that magnesium ribbon burns with a dazzling white flame and changes into a white powder. This powder is magnesium oxide. It is formed due to the reaction between magnesium and oxygen present in the air.,2,agree,,asha
h-chem-02,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",What does the arrow in a chemical equation show?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","A word-equation shows change of reactants to products through an arrow placed between them. The reactants are written on the left-hand side (LHS) with a plus sign (+) between them. Similarly, products are written on the right-hand side (RHS) with a plus sign (+) between them. The arrowhead points towards the products, and shows the direction of the reaction.",2,agree,,asha
h-chem-03,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",Why can we not change the formula of a compound while balancing an equation?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","To equalise the number of atoms, it must be remembered that we cannot alter the formulae of the compounds or elements involved in the reactions. For example, to balance oxygen atoms we can put coefficient '4' as 4 H 2 O and not H 2 O4 or (H 2 O) 4 . Now the partly balanced equation becomes-",4,agree,,asha
h-chem-04,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",How is an aqueous solution indicated in a chemical equation?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","To make a chemical equation more informative, the physical states of the reactants and products are mentioned along with their chemical formulae. The gaseous, liquid, aqueous and solid states of reactants and products are represented by the notations (g), (l), (aq) and (s), respectively. The word aqueous (aq) is written if the reactant or product is present as a solution in water.",5,agree,,asha
h-chem-05,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",What happens when ferrous sulphate crystals are heated?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","Have you noticed that the green colour of the ferrous sulphate crystals has changed? You can also smell the characteristic odour of burning sulphur.

2FeSO 4 (s) Heat ⎯ ⎯⎯⎯ → Fe 2 O3 (s) + SO 2 (g) + SO 3 (g) (1.19) (Ferrous sulphate) (Ferric oxide)","8, 8",agree,,asha
h-chem-06,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",What is quick lime used for in industry?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","Decomposition of calcium carbonate to calcium oxide and carbon dioxide on heating is an important decomposition reaction used in various industries. Calcium oxide is called lime or quick lime. It has many uses - one is in the manufacture of cement. When a decomposition reaction is carried out by heating, it is called thermal decomposition.",8,agree,,asha
h-chem-07,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",What happens to silver bromide in sunlight?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","Chemical Reactions and Equations Silver bromide also behaves in the same way.

2AgBr(s) Sunlight 2Ag(s) + Br (g) (1.23)","9, 10",agree,,asha
h-chem-08,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",Why does whitewashing with slaked lime give a shiny finish?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","A solution of slaked lime produced by the reaction 1.13 is used for whitewashing walls. Calcium hydroxide reacts slowly with the carbon dioxide in air to form a thin layer of calcium carbonate on the walls. Calcium carbonate is formed after two to three days of whitewashing and gives a shiny finish to the walls. It is interesting to note that the chemical formula for marble is also CaCO 3 .

Ca(OH) 2 (aq) + CO 2 (g) → CaCO3 (s) + H 2 O(l) (1.14) (Calcium (Calcium hydroxide) carbonate)","7, 7",agree,,asha
h-chem-09,"NCERT Class 10 Science, ch1 Chemical Reactions and Equations",Why are antioxidants added to foods containing fats and oils?,"ANSWERABLE - the chapter answers this, and the text beside it is the answer","When fats and oils are oxidised, they become rancid and their smell and taste change. Usually substances which prevent oxidation (antioxidants) are added to foods containing fats and oil. Keeping food in air tight containers helps to slow down oxidation. Do you know that chips manufacturers usually flush bags of chips with gas such as nitrogen to prevent the chips from getting oxidised ?",13,agree,,asha
